Артикул;"Цена (Розница)";"Цена (Опт)";"Можно купить";"На складе";"Время отгрузки";Размер/Цвет;Валюта(Розница);Валюта(Опт)
45812;523.00;232.56;0;0;3;;RUB;RUB
45813;534.00;237.46;0;0;3;;RUB;RUB
45814;523.00;232.56;0;0;3;;RUB;RUB
45815;523.00;232.56;0;0;3;;RUB;RUB
45820;2689.00;1493.80;1;8;2;голубой;RUB;RUB
45821;2689.00;1493.80;0;0;3;;RUB;RUB
45822;2689.00;1493.80;0;0;3;;RUB;RUB
45823;2008.00;1115.50;0;0;3;;RUB;RUB
45824;2008.00;1115.50;0;0;3;;RUB;RUB
45825;2008.00;1115.50;1;1;2;"золото с черным";RUB;RUB
45828;2217.00;1231.90;0;0;3;;RUB;RUB
45831;2514.00;1396.80;0;0;3;;RUB;RUB
45832;2043.00;1134.90;0;0;3;;RUB;RUB
45833;2602.00;1445.30;0;0;3;;RUB;RUB
45835;2270.00;1261.00;1;6;2;розовый;RUB;RUB
45836;1861.00;979.70;0;0;3;;RUB;RUB
45837;1851.00;1028.20;0;0;3;;RUB;RUB
45838;1493.00;785.70;0;0;3;;RUB;RUB
45839;1382.00;727.50;0;0;3;;RUB;RUB
45840;2352.00;1306.92;1;3;2;телесный;RUB;RUB
45846;496.00;220.25;1;10;1;прозрачный;RUB;RUB
45847;600.00;266.53;1;10;1;розовый;RUB;RUB
45855;3305.00;1836.02;1;2;2;фиолетовый;RUB;RUB
45856;3146.00;1747.75;1;3;2;фиолетовый;RUB;RUB
45857;3305.00;1836.02;1;2;2;фиолетовый;RUB;RUB
45858;3432.00;1906.63;1;2;2;телесный;RUB;RUB
45859;3432.00;1906.63;1;3;2;телесный;RUB;RUB
45860;3146.00;1747.75;1;3;2;фиолетовый;RUB;RUB
45861;3146.00;1747.75;1;2;2;розовый;RUB;RUB
45862;5855.00;3345.43;1;3;2;розовый;RUB;RUB
45863;4603.00;2630.45;1;3;2;фиолетовый;RUB;RUB
45864;3754.00;2144.96;1;3;2;фиолетовый;RUB;RUB
45865;3146.00;1747.75;1;4;2;телесный;RUB;RUB
45866;4433.00;2533.35;1;4;2;розовый;RUB;RUB
45867;3321.00;1844.84;1;3;2;телесный;RUB;RUB
45868;4124.00;2356.81;0;0;3;;RUB;RUB
45869;5623.00;3213.03;0;0;3;;RUB;RUB
45870;3893.00;2224.40;1;2;2;черный;RUB;RUB
45871;3146.00;1747.75;1;4;1;розовый;RUB;RUB
45872;3146.00;1747.75;1;3;2;розовый;RUB;RUB
45873;3305.00;1836.02;1;2;2;розовый;RUB;RUB
45874;3305.00;1836.02;1;3;2;розовый;RUB;RUB
45875;3146.00;1747.75;1;3;2;фиолетовый;RUB;RUB
45876;3754.00;2144.96;0;0;3;;RUB;RUB
45877;4603.00;2630.45;1;2;2;розовый;RUB;RUB
45878;5855.00;3345.43;1;3;2;фиолетовый;RUB;RUB
45879;4155.00;2374.46;1;3;2;фиолетовый;RUB;RUB
45880;5345.00;3054.14;1;2;2;фиолетовый;RUB;RUB
45881;3432.00;1906.63;1;3;2;красный;RUB;RUB
45882;3432.00;1906.63;1;3;2;черный;RUB;RUB
45883;3480.00;1933.11;1;2;2;фиолетовый;RUB;RUB
45884;3433.00;1907.22;1;41;2;розовый;RUB;RUB
45885;3103.00;1723.68;1;41;2;розовый;RUB;RUB
45886;2844.00;1580.04;1;40;2;розовый;RUB;RUB
45887;2672.00;1484.28;1;30;2;розовый;RUB;RUB
45888;782.00;391.02;1;9;2;розовый;RUB;RUB
45889;505.00;224.48;0;0;3;;RUB;RUB
45890;592.00;263.18;0;0;3;;RUB;RUB
45891;766.00;383.04;0;0;3;;RUB;RUB
45892;926.00;462.84;1;11;2;розовый;RUB;RUB
45893;862.00;430.92;1;14;2;розовый;RUB;RUB
45894;622.00;311.22;1;10;2;розовый;RUB;RUB
45895;1198.00;630.42;1;11;2;розовый;RUB;RUB
45896;1349.00;710.22;1;22;2;розовый;RUB;RUB
45897;1853.00;1029.42;1;12;2;розовый;RUB;RUB
45898;3480.00;1933.11;1;3;2;белый;RUB;RUB
45899;3480.00;1933.11;1;3;2;белый;RUB;RUB
45901;3480.00;1933.11;1;2;2;фиолетовый;RUB;RUB
45902;2828.00;1571.21;0;0;3;;RUB;RUB
45903;1660.00;873.87;1;2;2;белый;RUB;RUB
45904;1660.00;873.87;1;2;2;фиолетовый;RUB;RUB
45905;4155.00;2374.46;1;2;2;черный;RUB;RUB
45906;3480.00;1933.11;1;2;2;черный;RUB;RUB
45907;3003.00;1668.30;0;0;3;;RUB;RUB
45908;3480.00;1933.11;0;0;3;;RUB;RUB
45909;4124.00;2356.81;1;3;2;черный;RUB;RUB
45910;2002.00;1112.20;1;3;2;розовый;RUB;RUB
45911;2002.00;1112.20;1;2;2;синий;RUB;RUB
45912;2037.00;1131.57;1;36;2;прозрачный;RUB;RUB
45913;4464.00;2551.00;1;3;2;черный;RUB;RUB
45914;3893.00;2224.40;1;8;2;телесный;RUB;RUB
45916;812.00;406.04;1;2;2;белый;RUB;RUB
45917;812.00;406.04;1;2;2;фиолетовый;RUB;RUB
45918;4155.00;2374.46;1;3;2;розовый;RUB;RUB
45919;5515.00;3151.24;1;3;2;синий;RUB;RUB
45920;5515.00;3151.24;1;3;2;синий;RUB;RUB
45921;5345.00;3054.14;1;3;2;розовый;RUB;RUB
45928;1374.00;723.38;1;5;2;"Q (XL-XXL) телесный";RUB;RUB
45933;1284.00;675.61;1;157;2;черный;RUB;RUB
45944;1155.00;608.04;1;154;2;черный;RUB;RUB
45945;3040.00;1689.01;1;90;2;розовый;RUB;RUB
45946;730.00;364.83;1;42;2;дымчатый;RUB;RUB
45947;730.00;364.83;1;55;2;дымчатый;RUB;RUB
45948;1824.00;1013.41;1;63;2;черный;RUB;RUB
45949;1824.00;1013.41;1;50;2;розовый;RUB;RUB
45950;1824.00;1013.41;1;102;2;фиолетовый;RUB;RUB
45951;2736.00;1520.12;1;54;2;розовый;RUB;RUB
45952;3783.00;2161.94;1;7;2;серый;RUB;RUB
45953;2371.00;1317.43;1;41;2;черный;RUB;RUB
45954;1946.00;1080.97;1;67;2;черный;RUB;RUB
45955;1502.00;790.46;1;97;2;фиолетовый;RUB;RUB
45956;1502.00;790.46;1;156;2;телесный;RUB;RUB
45961;2181.00;1211.91;1;129;2;голубой;RUB;RUB
45962;2181.00;1211.91;1;118;2;розовый;RUB;RUB
45973;1284.00;675.61;1;109;2;черный;RUB;RUB
45978;2737.00;1520.78;1;20;2;"S черный,M черный";RUB;RUB
45979;3679.00;2102.24;1;13;2;"S черный,M черный";RUB;RUB
45980;2859.00;1113.61;1;6;2;синий;RUB;RUB
45981;2859.00;1113.61;0;0;3;;RUB;RUB
45985;1767.00;930.24;1;17;2;"красный с черным";RUB;RUB
45986;985.00;492.44;1;21;2;черный;RUB;RUB
45987;591.00;262.79;1;16;2;коричневый;RUB;RUB
45988;591.00;262.79;1;10;2;красный;RUB;RUB
45989;591.00;262.79;1;5;2;черный;RUB;RUB
45990;4127.00;2358.36;1;11;2;черный;RUB;RUB
45991;788.00;394.18;1;15;2;черный;RUB;RUB
45992;788.00;394.18;1;14;2;коричневый;RUB;RUB
45993;788.00;394.18;1;17;2;красный;RUB;RUB
45994;2069.00;1149.35;1;8;2;черный;RUB;RUB
45995;2092.00;1162.33;1;18;1;черный;RUB;RUB
45996;1767.00;929.86;1;14;2;черный;RUB;RUB
45997;5012.00;2863.72;1;17;2;черный;RUB;RUB
45998;4864.00;2779.50;1;34;2;черный;RUB;RUB
45999;792.00;396.00;1;1;2;"S-M черный";RUB;RUB
46001;2316.00;1286.40;1;2;2;"L-XL красный,S-M красный";RUB;RUB
46003;2434.00;1352.40;1;2;2;"L-XL красный,S-M красный";RUB;RUB
46004;2849.00;1582.80;1;6;2;"L-XL черный,S-M черный";RUB;RUB
46010;2869.00;1593.90;1;17;2;черный;RUB;RUB
46011;2391.00;1328.60;1;14;2;прозрачный;RUB;RUB
46026;2231.00;1239.70;1;11;2;красный;RUB;RUB
46027;3507.00;1948.10;0;0;3;;RUB;RUB
46028;3507.00;1948.10;0;0;3;;RUB;RUB
46029;3507.00;1948.10;1;1;2;золото;RUB;RUB
46030;3507.00;1948.10;1;1;2;золото;RUB;RUB
46031;4185.00;2391.20;1;1;2;золото;RUB;RUB
46032;3478.00;1932.48;0;0;3;;RUB;RUB
46033;4185.00;2391.20;0;0;3;;RUB;RUB
46034;3507.00;1948.10;1;1;2;золото;RUB;RUB
46036;3001.00;1667.16;1;11;2;золото;RUB;RUB
46037;3001.00;1667.16;1;11;2;золото;RUB;RUB
46041;967.00;508.90;1;48;2;фиолетовый;RUB;RUB
46042;6974.00;3985.10;1;19;2;прозрачный;RUB;RUB
46053;989.00;494.40;1;1;2;"L-XL черный";RUB;RUB
46064;3719.00;2125.20;1;31;2;прозрачный;RUB;RUB
